"Species","n","Median.CV","Min","Lower","Avg.CV","Upper","Max"
"Spotted Seatrout",16,0.0695545792783119,0.0529414446258702,0.0562471903592415,0.0708263360340546,0.0622724127252722,0.0906334254148087
"Southern Flounder",16,0.0797153820767121,0.0616331371799684,0.0620268270851831,0.0797553643770179,0.0649524908102105,0.111788142693493
"Red Drum",16,0.101057821267629,0.0788494876703558,0.0806050781298694,0.106826868803999,0.0845032218028984,0.176790285221113
"Blue Crab",13,0.104316035722869,0.0796164905180925,0.0838760532762328,0.115599222373759,0.0942383508056897,0.150598238079868
"Striped Mullet",16,0.114896256507776,0.0934948038731939,0.0952688124424129,0.122613219762383,0.102570526825095,0.168168970508136
"Atlantic Stingray",16,0.115740092084807,0.102585219772543,0.103305705073723,0.116598324318317,0.105221366376285,0.136631806335815
"Atlantic Croaker",16,0.117400212565454,0.0834479429538771,0.0874768321356428,0.123672239554186,0.0968998824667444,0.170644678934634
"Spot",16,0.12178972426699,0.0890206686182441,0.0931388932394293,0.131426850905265,0.100316071799909,0.256863123573032
"Black Drum",16,0.1480760897341,0.106818408485592,0.107786218955808,0.159509625927216,0.114008226005276,0.24625231871632
"Ladyfish",16,0.150554508882259,0.113024847313421,0.122708638997544,0.166333352144621,0.140939723331469,0.267876253752477
"Bonnethead",16,0.151501025635715,0.100355694458832,0.106003192184461,0.149856320226449,0.118506043653388,0.194738266549291
"Southern Kingfish",16,0.15873942278147,0.1083025770522,0.113482349413953,0.151760200876358,0.122910189059823,0.198015373771753
"Sheepshead",16,0.177525432576801,0.146312323805473,0.150569106099176,0.180003137175771,0.158594661222713,0.265682231469898
"Pinfish",16,0.190415904683748,0.126002693813567,0.128090686025667,0.193477116892616,0.144709280691653,0.285949473778759
"Striped Burrfish",16,0.199841994605016,0.127434574314512,0.131200444786878,0.214408029150959,0.14632964984863,0.424156899282095
"Silver Perch",16,0.200342340016117,0.148909380728667,0.15043077800154,0.221440279575273,0.153209409067597,0.352055840169828
"Longnose Gar",16,0.212365246794402,0.169532470807766,0.17012592639006,0.222599130542228,0.175669940579716,0.37455865890747
"Bluefish",16,0.22246463697171,0.149169924277602,0.15716176920974,0.250343176402406,0.173007228404108,0.511225768760863
"Atlantic Sharpnose Shark",16,0.232904605942199,0.178530843108679,0.178927591690656,0.239947641426116,0.180700866327409,0.33817705183006
"American Harvestfish",16,0.26461894614051,0.188725968448944,0.198926277742905,0.305336609064762,0.218277394596393,0.587536708475044
"Horseshoe Crab",16,0.328514687284333,0.250084455099852,0.252554973437623,0.336255069149421,0.262329990806021,0.494724131174863
"Atlantic Menhaden",16,0.354907311437806,0.171338248272987,0.188396314338658,0.385478496651569,0.220768241709233,0.860445778311818
"Gizzard Shad",16,0.37207561689846,0.187764334680092,0.217769172359463,0.374092527199473,0.273441388123385,0.575667561440583
"Hardhead Catfish",14,0.411673871166545,0.291985680012605,0.294267387346097,0.514076643999148,0.303491239474593,0.998797161087589
