"Year","AB","AR","CH","LW","CR","MB","RH","WB","Total"
"1991",NA,NA,"3","1",NA,NA,NA,NA,"4"
"1992",NA,NA,"0","2",NA,NA,NA,NA,"2"
"1993",NA,"0","5","1",NA,NA,NA,NA,"6"
"1994","7","0","3","0","13",NA,NA,NA,"23"
"1995","8","0","5","1","6",NA,NA,NA,"20"
"1996","11","0","1","0","1",NA,NA,NA,"13"
"1997","24","2","1","3","13",NA,NA,NA,"43"
"1998","41","0","17","1",NA,"11","4",NA,"74"
"1999","32","0","16","1",NA,"16","8",NA,"73"
"2000","89","1","22","5",NA,"30","25",NA,"172"
"2001","24","0","1","0",NA,"2","4",NA,"31"
"2002","14","0","4","2",NA,"16","7",NA,"43"
"2003","26","0","4","2",NA,"16","6","0","54"
"2004","38","0","7","1",NA,"18","3","0","67"
"2005","19","1","4","3",NA,"26","6","0","59"
"2006","41","0","9","4",NA,"21","7","0","82"
"2007","38","0","11","3",NA,"31","2","0","85"
"2008","50","1","9","2",NA,"27","4","0","93"
"2009","73","1","15","6",NA,"37","11","3","146"
"2010","20","0","10","2",NA,"25","1","1","59"
"2011","18","0","2","2",NA,"16","3","3","44"
"2012","57","2","10","2",NA,"46","16","4","137"
"2013","88","0","18","5",NA,"66","25","7","209"
"2014","30","2","10","6",NA,"43","23","6","120"
"2015","74","1","19","20",NA,"58","15","15","202"
"2016","56","0","30","18",NA,"49","26","3","182"
"2017","86","0","26","16",NA,"44","36","4","212"
"2018","17","0","10","1",NA,"14","10","1","53"
"Total","981","11","272","110","33","612","242","47","2308"
